,Ngành,Total-M,YOY,Total-YOY,YTD-YOY,Date,Month,PreMonth,MOM
4470,Sản phẩm chất dẻo,300,,1163.1911989999999,24.216204608754637,2015-04-29,2015-04,2015-03,-3.225806451612897
4471,Cao su,61.922774366845736,,214.76160436684575,7.0385603018704614,2015-04-29,2015-04,2015-03,3.204623944742906
4472,Gỗ và sản phẩm gỗ,230,,741.1467700000001,-3.8443455087844995,2015-04-29,2015-04,2015-03,9.523809523809533
4473,Giấy các loại,122.57854986667347,,445.5538298666735,4.200845440967214,2015-04-29,2015-04,2015-03,-0.8699289287078358
4474,Bông,175.17951504354713,,560.1608500435472,11.766117026031523,2015-04-29,2015-04,2015-03,29.689286937939045
4475,Sợi dệt,152,,510.50283,6.398443450880947,2015-04-29,2015-04,2015-03,17.226293741619088
4476,Vải,850,,2936.035974,5.352140583297114,2015-04-29,2015-04,2015-03,41.666666666666686
4477,"Nguyên PL dệt, may, giày dép",480,,1570.680093,12.710649379840618,2015-04-29,2015-04,2015-03,33.333333333333314
4478,Sắt thép,611.4956773595361,,2333.1270563595363,12.48172985475587,2015-04-29,2015-04,2015-03,43.7389345307775
4479,Kim loại thường khác,296,,1144.7036990000001,10.835304957485874,2015-04-29,2015-04,2015-03,-10.303030303030297
4480,"Điện tử, máy tính và linh kiện",1950,,7531.922155,36.39537393546658,2015-04-29,2015-04,2015-03,2.631578947368425
4481,Điện thoại và linh kiện,950,,3537.739614,30.491721068017398,2015-04-29,2015-04,2015-03,0.0
4482,"Máy móc thiết bị, dụng cụ PT khác",2500,,9547.616402,44.367212693209126,2015-04-29,2015-04,2015-03,8.695652173913032
4483,Ô tô,553.5903620352251,,1770.293135035225,96.38676471734175,2015-04-29,2015-04,2015-03,26.721327836372794
4484,Trong đó: Nguyên chiếc(*),293.59036203522504,,883.4421450352249,188.82262680187796,2015-04-29,2015-04,2015-03,35.38462404039265
4485,"Xe máy và linh kiện, phụ tùng",30,,119.975167,1.259648866377546,2015-04-29,2015-04,2015-03,-14.285714285714292
4486,Phương tiện vận tải khác và PT,40,,160.87184200000002,16.173796175549285,2015-04-29,2015-04,2015-03,-38.46153846153846
4487,TỔNG TRỊ GIÁ,13300,,37485,16.299999999999997,2015-03-29,2015-03,2015-02,43.01075268817206
4488,Khu vực kinh tế trong nước,5100,,14387,5.700000000000003,2015-03-29,2015-03,2015-02,39.72602739726028
4489,Khu vực có vốn đầu tư NN,8200,,23098,24.099999999999994,2015-03-29,2015-03,2015-02,45.13274336283186
4490,Thủy sản,130,,280.650047,8.671253667963953,2015-03-29,2015-03,2015-02,160.0
4491,Sữa và sản phẩm sữa,90,,233.14375,-10.233245076945025,2015-03-29,2015-03,2015-02,136.84210526315786
4492,Rau quả,35,,107.477171,15.26001103728376,2015-03-29,2015-03,2015-02,16.66666666666667
4493,Lúa mỳ,54.64050670310596,,135.91701370310597,-15.089381538869006,2015-03-29,2015-03,2015-02,446.4050670310596
4494,Dầu mỡ động thực vật,55,,147.04603600000002,-3.1633536017469766,2015-03-29,2015-03,2015-02,71.875
4495,Thức ăn gia súc và NPL,250,,811.685889,24.854392436197088,2015-03-29,2015-03,2015-02,74.82517482517483
4496,Xăng dầu,500,,1286.166753,-35.41721668209185,2015-03-29,2015-03,2015-02,111.86440677966104
4497,Khí đốt hóa lỏng,83.08484262950917,,157.68916762950917,20.093528311126192,2015-03-29,2015-03,2015-02,419.2802664344323
4498,Sản phẩm khác từ dầu mỏ,80,,268.417603,14.118563358686657,2015-03-29,2015-03,2015-02,33.333333333333314
4499,Hóa chất,280,,700.301954,-4.654172608632095,2015-03-29,2015-03,2015-02,70.73170731707316
4500,Sản phẩm hoá chất,290,,758.892437,11.271973514126671,2015-03-29,2015-03,2015-02,57.60869565217391
4501,Tân dược,200,,455.872651,3.860056019264576,2015-03-29,2015-03,2015-02,96.078431372549
4502,Phân bón,79.8904514005258,,256.9646014005258,2.327089797770739,2015-03-29,2015-03,2015-02,59.78090280105161
4503,Thuốc trừ sâu,70,,205.482205,2.7116247772470388,2015-03-29,2015-03,2015-02,4.477611940298502
4504,Chất dẻo,505.2290789104184,,1285.9549689104185,-8.711815220904242,2015-03-29,2015-03,2015-02,68.40969297013947
4505,Sản phẩm chất dẻo,310,,848.920585,27.400870771715418,2015-03-29,2015-03,2015-02,40.90909090909091
4506,Cao su,60,,155.40518500000002,0.5700656974361351,2015-03-29,2015-03,2015-02,57.89473684210526
4507,Gỗ và sản phẩm gỗ,210,,511.123434,-8.787916477389302,2015-03-29,2015-03,2015-02,90.9090909090909
4508,Giấy các loại,123.65425399374291,,322.0716479937429,0.08611737319661472,2015-03-29,2015-03,2015-02,69.38938903252455
4509,Bông,135.07631908515063,,345.5237870851506,-4.472832520040072,2015-03-29,2015-03,2015-02,125.12719847525108
4510,Sợi dệt,129.66374279052647,,352.0247017905265,-0.14159161575511803,2015-03-29,2015-03,2015-02,62.079678488158095
4511,Vải,600,,1943.255975,1.6535592706163271,2015-03-29,2015-03,2015-02,20.0
4512,"Nguyên PL dệt, may, giày dép",360,,1018.422042,3.942296560276219,2015-03-29,2015-03,2015-02,38.46153846153845
